"president_number","president","term_number","term_start","term_end","poll_start","poll_end","polling_institute","approval","disapproval","no_opinion","sample_size"
46,"Joe Biden",1,2021-01-20,2025-01-20,2025-01-16,2025-01-19,"American Research Group",37,58,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2025-01-02,2025-01-15,"Gallup Organization",40,54,6,1005
46,"Joe Biden",1,2021-01-20,2025-01-20,2025-01-09,2025-01-13,"Associated Press/NORC Center",41,57,3,1147
46,"Joe Biden",1,2021-01-20,2025-01-20,2025-01-09,2025-01-12,"CNN",36,64,0,1205
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-12-17,2024-12-20,"American Research Group",37,56,7,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-12-12,2024-12-16,"Quinnipiac University",38,52,10,924
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-12-13,2024-12-15,"Reuters/Ipsos",38,57,5,1029
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-12-02,2024-12-11,"Marquette Law School",34,66,0,1063
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-12-05,2024-12-09,"Associated Press/NORC Center",39,60,1,1251
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-11-06,2024-11-20,"Gallup Organization",37,58,5,1001
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-11-17,2024-11-20,"American Research Group",41,53,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-10-04,2024-11-08,"NBC News",43,54,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-10-14,2024-10-27,"Gallup Organization",41,56,3,1007
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-10-25,2024-10-27,"Ipsos",35,60,5,1150
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-10-20,2024-10-23,"CNN",36,64,0,1704
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-10-18,2024-10-22,"ABC News",36,57,7,2808
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-10-17,2024-10-20,"American Research Group",44,50,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-10-14,2024-10-18,"Suffolk / USA Today",44,54,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-10-11,2024-10-14,"Associated Press/NORC Center",43,57,0,1072
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-10-11,2024-10-13,"Ipsos",36,57,7,938
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-10-01,2024-10-12,"Gallup Organization",39,56,5,1023
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-09-30,2024-10-06,"Pew",35,63,2,5110
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-09-19,2024-09-22,"Quinnipiac University",42,55,NA,1728
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-09-17,2024-09-20,"American Research Group",44,49,7,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-09-13,2024-09-17,"NBC News",44,54,2,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-09-03,2024-09-15,"Gallup Organization",39,58,3,1007
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-08-25,2024-08-28,"Suffolk / USA Today",48,49,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-08-17,2024-08-20,"American Research Group",45,49,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-24,2024-08-01,"Marquette Law School",39,61,0,879
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-26,2024-07-29,"Reuters/Ipsos",37,58,5,1025
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-22,2024-07-24,"NY Times Upshot/Siena College",41,56,3,1142
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-01,2024-07-21,"Gallup Organization",36,58,5,1010
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-19,2024-07-21,"Quinnipiac University",39,57,5,1257
