"days","Barack Obama","Bill Clinton","Donald Trump","Dwight D. Eisenhower","George H.W. Bush","George W. Bush","Gerald Ford","Harry S. Truman","Jimmy Carter","Joe Biden","John F. Kennedy","Lyndon B. Johnson","Richard Nixon","Ronald Reagan"
1,47,36.4932802389248,-1,61,45,32,68,84,58,24,66,76,54,38
2,47,36.4932802389248,-1,61,45,32,68,84,58,24,66,76,54,38
3,47,36.4932802389248,-1,61,45,32,68,84,58,24,66,76,54,38
4,47,36.4932802389248,-1,61,45,32,68,84,58,24,66,76,54,38
5,50.3599117420655,36.4932802389248,-4.61980752084084,61,45,32,68,84,58,24,66,76,54,38
6,50.3599117420655,36.4932802389248,-3.92175197224891,61,45,32,68,84,58,24,66,76,54,38
7,50.3599117420655,36.4932802389248,-3.92175197224891,61,45,32,68,84,58,16.8205903377987,66,76,54,38
8,48.8351253200727,36.4932802389248,-3.92175197224891,61,45,32,68,84,58,16.8205903377987,66,76,54,38
9,45.7848982152193,36.4932802389248,-5.16318706589159,61,45,32,68,84,58,16.8205903377987,66,76,54,38
10,45.7848982152193,36.4932802389248,-5.16318706589158,61,45,32,68,84,58,16.8205903377987,66,76,54,38
11,46.77717677566,30.0800117581197,-5.16318706589158,61,45,32,68,84,58,16.8205903377987,66,76,54,38
12,45.047076663329,30.0800117581197,-6.64971579519364,61,45,32,68,84,58,17.626280559246,66,76,54,38
13,45.047076663329,30.0800117581197,-7.15561078062684,61,45,32,68,84,58,18.2437587900126,66,76,54,38
14,45.0339017522038,30.0800117581197,-7.15561078062684,61,45,32,68,84,58,18.2437587900126,66,76,54,38
15,45.3440419184407,30.0800117581197,-8.09764014255033,61,45,32,68,84,58,18.2437587900126,66,76,54,38
16,45.3440419184407,30.0800117581197,-8.09764014255033,61,43.2566469424356,32,68,84,58,18.2437587900126,66,76,54,38
17,45.2760176028301,30.0800117581197,-8.2808119467046,61,43.2566469424356,32,68,84,58,18.2437587900126,66,76,54,38
18,45.2760176028301,30.0800117581197,-8.44944211994815,61,43.2566469424356,32,68,84,58,18.2437587900126,66,76,54,38
19,46.7227712147659,30.0800117581197,-8.44944211994815,61,43.2566469424356,32.8719732987504,68,84,58,18.2437587900126,66,76,54,38
20,45.1808798140511,30.0800117581197,-8.44944211994815,61,43.2566469424356,31.0472288578438,68,84,58,18.2437587900126,66,76,54,38
21,45.1808798140511,30.0800117581197,-9.40404461113418,61,43.2566469424356,31.0472288578438,68,84,58,18.2437587900126,66,76,54,38
22,45.1808798140511,21.6756641182234,-9.40404461113417,61,43.2566469424356,31.3319450726453,68,84,58,18.2437587900126,66,76,54,38
23,43.8909865901175,21.6756641182234,-11.4296830849291,61,43.2566469424356,30.8726418613246,68,84,58,18.2437587900126,66,76,54,38
24,43.8909865901175,21.6756641182234,-10.243406528184,61,43.2566469424356,30.8726418613246,68,84,58,18.2437587900126,66,76,54,38
25,43.8909865901175,20.7472762076432,-10.243406528184,61,43.2566469424356,30.8726418613246,68,84,58,14.2029684088696,66,71.5814976699867,54,38
26,43.8909865901175,20.7472762076432,-10.243406528184,61,43.2566469424356,30.8726418613246,68,84,58,14.2029684088696,66,71.5814976699867,54,38
27,41.892725838018,20.7472762076432,-12.1213580245007,61,43.2566469424356,30.8726418613246,68,84,58,14.2029684088696,66,71.5814976699867,54,37.1103184879651
28,43.0137854487181,20.7472762076432,-12.1213580245007,61,43.2566469424356,30.8726418613246,68,84,58,14.2029684088696,66,71.5814976699867,54,37.1103184879652
29,39.1701937521653,23.6910497569194,-12.1213580245007,61,43.2566469424356,30.8726418613246,68,84,58,15.16032109527,66,71.5814976699867,54,37.1103184879652
