"days","Joe Biden","Donald Trump","Barack Obama","George W. Bush","Bill Clinton","George H.W. Bush","Ronald Reagan","Jimmy Carter","Gerald Ford","Richard Nixon","Lyndon B. Johnson","John F. Kennedy","Dwight D. Eisenhower","Harry S. Truman"
1,23.9318316849382,5.22635626036065,49.2284709619185,32.354844171166,41.7342334602342,46.4265831257232,38.5085289789084,55.3426439403207,66.7554065276991,54.0056538199276,77.8763967202567,66.0010505253612,61.1223027292329,83.9999984312522
2,23.4650427746278,4.78601946858828,49.0483546472321,32.3216382246286,40.9837728814473,46.2764039119063,38.4799521551396,55.4593095298891,66.8685508880732,54.0057206111341,77.7909526725329,66.0010050917084,61.1206728258099,83.9999984570405
3,22.9982538643175,4.3456826768159,48.8682383325457,32.2884322780913,40.2333123026603,46.1262246980895,38.4513753313709,55.5759751194575,66.9816952484473,54.0057874023407,77.7055086248091,66.0009596580556,61.1190429223868,83.9999984828289
4,22.5314649540072,3.90420731725376,48.6881220178593,32.2552263315539,39.4828517238733,45.9760454842726,38.4227985076022,55.6926407090259,67.0948396088214,54.0058541935472,77.6200645770852,66.0009142244028,61.1174130189638,83.9999985086173
5,22.0646760436969,3.4614746462124,48.502865362002,32.2220203850165,38.7323911450863,45.8258662704558,38.3942216838334,55.8093062985943,67.2079839691956,54.0059209847537,77.5346205293614,66.00086879075,61.1157831155407,83.9999985344056
6,21.6023367856373,3.01901439984226,48.3082408841966,32.1888144384792,37.9819305662993,45.675687056639,38.3656448600647,55.9259718881627,67.3211283295697,54.0059877759603,77.4491764816375,66.0008233570972,61.1141532121176,83.999998560194
7,21.1508164681031,2.57835631429379,48.1056178750332,32.156272615621,37.2314699875123,45.5255078428221,38.337068036296,56.0426374777311,67.4342726899438,54.0060545671668,77.3637324339137,66.0007779234444,61.1125233086946,83.9999985859824
8,20.7129945451297,2.14103012571743,47.896365625102,32.1243747014233,36.4819091629312,45.3753286290053,38.3084912125272,56.1593030672995,67.5474170503179,54.0061213583733,77.2782883861899,66.0007324897916,61.1108934052715,83.9999986117707
9,20.2917504707526,1.70856557026364,47.6818534249932,32.092094187839,35.7341384738199,45.2251494151884,38.2799143887585,56.2759686568679,67.660561410692,54.0061881495799,77.192844338466,66.0006870561388,61.1092635018485,83.9999986375591
10,19.8899636990075,1.28249238408286,47.4634505652972,32.0584045668211,34.9881438607657,45.0733343833621,38.2513375649897,56.3926342464363,67.7737057710661,54.0062934482822,77.1074002907422,66.000641622486,61.1076335984254,83.9999986633475
11,19.51051368393,0.864340303325534,47.242526336604,32.0222793303225,34.243911264356,44.9190480046092,38.222760741221,56.5092998360047,67.8868501314403,54.0064406766401,77.0219562430183,66.0005961888332,61.1060036950024,83.9999986891359
12,19.1562798795555,0.455639064142105,47.020450029504,31.9826919702963,33.501426625178,44.7634907125684,38.1941839174523,56.6259654255731,67.9995915968247,54.0065772066492,76.9365121952945,66.0005507551804,61.1043737915793,83.9999987149242
13,18.8301417399197,0.0576317622253342,46.7985909345873,31.9386159786956,32.7606758838191,44.6078629408784,38.1656070936835,56.7426310151415,68.112032542017,54.0066504103053,76.8510681475706,66.0005053215276,61.1027438881563,83.9999987407126
14,18.5349787190581,-0.3295850685627,46.577656735319,31.8890248474732,32.0216449808664,44.4533651231779,38.1370302699148,56.8592966047099,68.2249308716985,54.0066076596041,76.7656240998468,66.0004598878748,61.1011139847332,83.999998766501
15,18.2729149380988,-0.706201534817723,46.3557086866641,31.8328920685822,31.2843198569074,44.3011976931056,38.1087323346734,56.9759621942783,68.3390444905503,54.0063963265415,76.680180052123,66.000414454222,61.0994840813101,83.9999987922893
16,18.0430531865402,-1.07240774313533,46.1301464364621,31.7696051602105,30.5486864525294,44.1525610843002,38.0806086824528,57.0926277838467,68.4551313032535,54.0059637831132,76.5947360043991,66.0003690205692,61.0978541778871,83.9999988180777
17,17.8437409209733,-1.42839380011117,45.8983696325528,31.7002077454858,29.8166269269215,44.0086557304004,38.0520840722018,57.2092933734151,68.5739492144892,54.0052574013149,76.5092919566753,66.0003235869164,61.096224274464,83.999998843866
18,17.6733255979891,-1.7743498123409,45.6577779227759,31.6261574737707,29.097608313681,43.8706820650448,38.0225832628693,57.3259589629835,68.6922770888514,54.0042245531425,76.4238479089514,66.0002781532636,61.0950376791018,83.9999988696544
19,17.5301546741785,-2.11046588642016,45.4057709549711,31.5489119944279,28.4029938650068,43.7401554981393,37.9915310134041,57.4426245525519,68.7909776305842,54.0028134330608,76.3384038612276,66.0002327196108,61.0942748242577,83.9999988954428
20,17.4125756061324,-2.43693212894461,45.1397483769782,31.46992895682,27.7441468330983,43.6198513446578,37.9583520827553,57.5581159330652,68.8469345038445,54.0009755254115,76.2591726294632,66.000187285958,61.093241396526,83.9999989212311
21,17.318935850442,-2.75393864650988,44.8571098366369,31.3906660103096,27.1324304701545,43.5128598958415,37.9224712298716,57.6728514770892,68.8370313727893,53.9986631370053,76.1568583190671,66.0001418523052,61.0912430825015,83.9999989470195
22,17.247582863698,-3.06167554571164,44.5552549817868,31.3125808042594,26.5792080283744,43.4222714429315,37.8833132137021,57.7892200570557,68.7381519015754,53.995828574653,75.9781978642134,66.0000964186524,61.0875855687786,83.9999989728079
23,17.1968641024915,-3.35998522663499,44.2315834602678,31.2371309880319,26.0958427599573,43.3511762771689,37.8403027931954,57.9096105453965,68.5271797543599,53.9924241451655,75.6809191139834,66.0000509849996,61.0815745419517,83.9999989985962
24,17.1651270234134,-3.64731926332274,43.8846690848295,31.16577421099,25.6936979171022,43.3026646897949,37.7931392395844,58.0364118145433,68.1791033848491,53.9884021553535,75.2667135770877,66.0000055513468,61.0725156886155,83.9999990243846
25,17.1504918091891,-3.92178152330725,43.5177823278621,31.099968122496,25.3841367520082,43.2798269720506,37.7426198732369,58.1720127369278,67.6613304049486,53.9837149120277,74.7482636771442,65.999960117694,61.0597146953645,83.999999050173
26,17.150169547081,-4.18147587412084,43.1353678266658,31.0416428666983,25.1751316935616,43.2857534151771,37.6898165268044,58.3188021849818,66.939373216113,53.9783147219991,74.1382518377709,65.9999146840412,61.0424772487931,83.9999990759613
27,17.1611440504862,-4.42450618329575,42.7418702185406,30.9946185668865,25.0610918773965,43.3235343104156,37.6358010329385,58.4791690311368,65.9787442197974,53.9721538920783,73.462427653477,65.9998692503884,61.0200909172127,83.9999991017497
28,17.1803991328014,-4.64897631836439,42.3417341407868,30.9631878411359,25.0330356158345,43.3955115964829,37.5816452242908,58.6555021478248,64.7449558174567,53.965210366686,72.7988094023365,65.9998209610129,60.9917707958026,83.9999991275381
29,17.2049186074236,-4.85299014685899,41.9394042307045,30.9516433075219,25.0819812211967,43.5010338019998,37.5284209335129,58.8490345630951,63.2035204105459,53.9575646406823,72.238482533315,65.9997701258652,60.9567138614586,83.9999991533264
30,17.2316862877497,-5.03465153631188,41.5393251255939,30.9642775841198,25.1989470058046,43.6387011030627,37.4771999932563,59.0563759274677,61.3423780423189,53.9493228465372,71.8506729607802,65.9997214934548,60.9141170910766,83.9999991791148
31,17.2576859871767,-5.19206435425539,41.1459414627551,31.0053832890047,25.3749512819795,43.8071136757681,37.4290542361727,59.2729800470804,59.2391793232255,53.9405911167206,71.6171684607095,65.9996798122915,60.8631774615528,83.9999992049032
32,17.2799015191013,-5.32388463918461,40.7636978794884,31.0792530402521,25.6010123620427,44.0048716962123,37.3850554949137,59.4943007280708,56.9940025055145,53.9314755837025,71.4978972744826,65.9996498308849,60.8030919497831,83.9999992306915
33,17.2953166969205,-5.43097711344581,40.3962145635602,31.1901794559371,25.8681485583157,44.230575340492,37.3459837151819,59.7157917765766,54.7069258414348,53.9220823799528,71.4527876434793,65.9996362977448,60.7330575326634,83.9999992564799
34,17.3008181576572,-5.51475867034802,40.043813904603,31.3424551541351,26.1673781831197,44.4828247847035,37.3114512948842,59.9329069987356,52.4780275832353,53.9125176379415,71.4466094877999,65.9996439613808,60.6522711870897,83.9999992822683
